2023-10-04 08:25:08,258 INFO    MainThread:7825 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_setup.py:_flush():76] Configure stats pid to 7825
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_setup.py:_flush():76] Loading settings from /home/ec2-user/.config/wandb/settings
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_setup.py:_flush():76] Loading settings from /home/ec2-user/sandbox/wandb/settings
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_init.py:_log_setup():528] Logging user logs to /home/ec2-user/sandbox/wandb/run-20231004_082508-syu3ieff/logs/debug.log
2023-10-04 08:25:08,259 INFO    MainThread:7825 [wandb_init.py:_log_setup():529] Logging internal logs to /home/ec2-user/sandbox/wandb/run-20231004_082508-syu3ieff/logs/debug-internal.log
2023-10-04 08:25:08,260 INFO    MainThread:7825 [wandb_init.py:_jupyter_setup():474] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fe2de69ee90>
2023-10-04 08:25:08,261 INFO    MainThread:7825 [wandb_init.py:init():568] calling init triggers
2023-10-04 08:25:08,261 INFO    MainThread:7825 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'norm': 0.5, 'batch_size': 2, 'lr': 0.001, 'momentum': 0.9, 'epochs': 2}
2023-10-04 08:25:08,261 INFO    MainThread:7825 [wandb_init.py:init():618] starting backend
2023-10-04 08:25:08,261 INFO    MainThread:7825 [wandb_init.py:init():622] setting up manager
2023-10-04 08:25:08,264 INFO    MainThread:7825 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-04 08:25:08,266 INFO    MainThread:7825 [wandb_init.py:init():628] backend started and connected
2023-10-04 08:25:08,275 INFO    MainThread:7825 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-10-04 08:25:08,275 INFO    MainThread:7825 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-10-04 08:25:08,275 INFO    MainThread:7825 [wandb_init.py:init():720] updated telemetry
2023-10-04 08:25:08,280 INFO    MainThread:7825 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-04 08:25:08,740 INFO    MainThread:7825 [wandb_run.py:_on_init():2220] communicating current version
2023-10-04 08:25:08,774 INFO    MainThread:7825 [wandb_run.py:_on_init():2229] got version response 
2023-10-04 08:25:08,774 INFO    MainThread:7825 [wandb_init.py:init():804] starting run threads in backend
2023-10-04 08:25:13,721 INFO    MainThread:7825 [wandb_run.py:_console_start():2199] atexit reg
2023-10-04 08:25:13,722 INFO    MainThread:7825 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-04 08:25:13,722 INFO    MainThread:7825 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-04 08:25:13,722 INFO    MainThread:7825 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-04 08:25:13,722 INFO    MainThread:7825 [wandb_init.py:init():845] run started, returning control to user process
2023-10-04 08:30:23,768 INFO    MainThread:7825 [wandb_run.py:_finish():1934] finishing run reginold-lu/GPT-5/syu3ieff
2023-10-04 08:30:23,768 ERROR   MainThread:7825 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2023-10-04 08:30:23,768 INFO    MainThread:7825 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-04 08:30:23,768 INFO    MainThread:7825 [wandb_init.py:_jupyter_teardown():456] cleaning up jupyter logic
2023-10-04 08:30:23,769 INFO    MainThread:7825 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-04 08:30:23,769 INFO    MainThread:7825 [wandb_run.py:_restore():2151] restore
2023-10-04 08:30:23,769 INFO    MainThread:7825 [wandb_run.py:_restore():2157] restore done
2023-10-04 08:30:27,890 INFO    MainThread:7825 [wandb_run.py:_footer_history_summary_info():3554] rendering history
2023-10-04 08:30:27,892 INFO    MainThread:7825 [wandb_run.py:_footer_history_summary_info():3586] rendering summary
2023-10-04 08:30:27,904 INFO    MainThread:7825 [wandb_run.py:_footer_sync_info():3513] logging synced files
